,USE_PURPOSE_FLG_2,USE_PURPOSE_FLG_3,USE_PURPOSE_FLG_5,USE_PURPOSE_FLG_6,REG_COUNTRY_FLG_1,REG_COUNTRY_FLG_2,FO_num_2.0,FO_num_3.0,FO_num_4.0,FO_num_5.0,FO_num_6.0,FO_num_7.0,FO_num_8.0,FO_num_nan,DAMAGE_TYPE_2,DAMAGE_TYPE_3,DTP_DT,EURO_PROTOCOL,PREMIUM,MULTIDRIVE_FLG,BONUS_MALUS,CAR_ENG_PWR,TRAILER_FLG,PAY_AMT_sum,DRIVER_COUNT,MIN_DRIVER_AGE,MIN_DRIVER_EXP,polis_length,days_to_dtp,carr_issue_diff,start1_diff,end1_diff,car_diag_diff
21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-01,0,3272.4,1,0.75,102.0,0,278399.29,2.0,29.0,11.0,365.0,78.0,7.0,0.0,365.0,350.0
22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-01,1,3392.06,1,0.5,106.0,0,7109.75,1.0,58.0,39.0,365.0,63.0,4.0,0.0,365.0,-379.0
23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-01,1,8984.1,1,0.8,123.0,0,19281.79,2.0,29.0,9.0,365.0,101.0,3.0,0.0,365.0,-1.0
24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-01,1,6567.64,1,0.9,94.0,0,36107.87,1.0,55.0,19.0,365.0,211.0,18.0,0.0,365.0,-1.0
25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-03-01,1,3113.21,1,0.9,109.0,-1,7122.76,2.0,30.0,10.0,364.0,9.0,11.0,0.0,364.0,-1.0
26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-03-01,1,4529.8,1,1.0,89.0,0,7080.44,1.0,58.0,14.0,364.0,12.0,11.0,0.0,364.0,-1.0
27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-03-01,0,4484.5,1,0.55,75.0,0,10191.95,1.0,31.0,13.0,364.0,9.0,11.0,0.0,364.0,364.0
28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-03-01,1,7412.4,1,1.0,120.0,0,48433.74,1.0,35.0,17.0,364.0,30.0,7.0,0.0,364.0,410.0
29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-03-01,0,7115.9,1,1.0,116.0,0,400000.0,3.0,19.0,1.0,364.0,49.0,16.0,0.0,364.0,363.0
30,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-01,1,6115.23,1,0.75,84.0,0,3040.0,2.0,33.0,10.0,364.0,303.0,4.0,0.0,364.0,363.0
31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-01,0,4529.8,1,1.0,90.0,-1,35575.46,2.0,31.0,11.0,364.0,142.0,16.0,0.0,364.0,-1.0
32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-01,1,2378.15,1,0.75,80.0,0,31190.74,1.0,48.0,19.0,364.0,325.0,8.0,0.0,364.0,-235.0
33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-01,0,3737.09,1,0.75,82.0,0,14632.75,2.0,44.0,19.0,364.0,318.0,24.0,0.0,364.0,365.0
34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-01,0,8647.8,1,1.0,125.0,0,14493.36,1.0,23.0,5.0,364.0,232.0,11.0,0.0,364.0,363.0
35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-01,1,3953.28,1,0.75,160.0,0,25472.24,1.0,29.0,6.0,364.0,171.0,10.0,0.0,364.0,365.0
36,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-01,0,3326.69,1,0.9,100.0,0,32377.01,1.0,43.0,11.0,364.0,42.0,16.0,0.0,364.0,-2.0
37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-01,1,7494.76,1,0.65,125.1,0,80470.53,1.0,58.0,19.0,364.0,195.0,11.0,0.0,364.0,365.0
38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-01,0,3637.91,1,0.85,149.0,0,66968.49,2.0,30.0,7.0,364.0,5.0,12.0,0.0,364.0,-1.0
39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-01,0,3261.46,1,0.9,74.0,0,108686.06,2.0,28.0,3.0,364.0,229.0,11.0,0.0,364.0,-1.0
40,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019-03-01,0,8894.88,0,1.0,105.0,-1,113078.46,2.0,35.0,10.0,364.0,178.0,17.0,0.0,364.0,-1.0
41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,1,3772.58,1,0.7,87.0,-1,9263.92,1.0,34.0,13.0,365.0,160.0,5.0,0.0,365.0,715.0
42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,1,3290.6,1,0.65,95.0,0,42080.42,1.0,34.0,11.0,365.0,223.0,9.0,0.0,365.0,366.0
43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,1,7187.06,1,0.8,110.0,0,57410.23,1.0,32.0,9.0,365.0,130.0,5.0,0.0,365.0,-10.0
44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-01,0,4941.6,1,1.0,112.0,0,55160.17,3.0,22.0,3.0,364.0,26.0,7.0,0.0,364.0,360.0
45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-04-01,0,3850.33,1,0.5,85.0,0,78116.12,2.0,24.0,6.0,364.0,178.0,4.0,0.0,364.0,-1.0
46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-04-01,0,8153.64,1,1.0,98.0,0,11735.45,2.0,25.0,6.0,364.0,124.0,6.0,0.0,364.0,-1.0
47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-04-01,1,9224.32,1,1.0,249.0,0,26302.77,4.0,24.0,6.0,364.0,359.0,6.0,0.0,364.0,-1.0
48,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019-04-01,1,2446.09,1,0.55,105.0,0,21775.3,2.0,40.0,9.0,364.0,276.0,23.0,0.0,364.0,366.0
49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-04-01,1,15247.31,0,1.0,75.0,0,104672.15,2.0,35.0,10.0,364.0,72.0,8.0,0.0,364.0,-5.0
50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-04-01,0,2316.99,1,0.5,80.0,1,43008.59,1.0,60.0,19.0,365.0,26.0,11.0,0.0,365.0,-1.0
51,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019-04-01,0,2882.6,1,1.0,69.0,0,109585.85,2.0,38.0,18.0,364.0,93.0,33.0,0.0,181.0,179.0
52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-04-01,0,7685.18,1,0.9,101.0,-1,153504.66,1.0,38.0,10.0,364.0,51.0,13.0,0.0,364.0,-1.0
53,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-01,0,9108.36,1,0.9,231.0,-1,49801.76,2.0,39.0,8.0,365.0,193.0,1.0,0.0,365.0,-1.0
